"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Try to login with wrong credentials","6627","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 18:20:01 GMT 2024","failed","Tue Dec 10 18:20:08 GMT 2024","","ui/ui.spec.js","",""
"Create new task by api","264","Test create new task @API @TASK","api","Tue Dec 10 18:19:52 GMT 2024","passed","Tue Dec 10 18:19:52 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with new register user (user with credentials demo:demo exist by default)","2559","Login with exist user @UI @LOGIN @POSITIVE","ui","Tue Dec 10 18:19:58 GMT 2024","passed","Tue Dec 10 18:20:01 GMT 2024","","ui/ui.spec.js","",""
"Try to login with wrong credentials","6938","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 18:20:08 GMT 2024","failed","Tue Dec 10 18:20:15 GMT 2024","","ui/ui.spec.js","",""
"Create new task  and delete it by api","390","Delete task @API @TASK","api","Tue Dec 10 18:19:52 GMT 2024","passed","Tue Dec 10 18:19:53 GMT 2024","","api/tasks.api.spec.js","",""
"Create new project by api","1234","Test create new project @API @PROJECT","api","Tue Dec 10 18:19:48 GMT 2024","passed","Tue Dec 10 18:19:49 GMT 2024","","api/project.api.spec.js","",""
"Get all exist project by api","302","Test get all projects @API @PROJECT","api","Tue Dec 10 18:19:49 GMT 2024","failed","Tue Dec 10 18:19:50 GMT 2024","","api/project.api.spec.js","",""
"","2727","Create new user","setup","Tue Dec 10 18:19:44 GMT 2024","passed","Tue Dec 10 18:19:47 GMT 2024","","login.setup.js","",""
"Register new user","2580","Register new user @UI @REGISTER @POSITIVE","ui","Tue Dec 10 18:19:54 GMT 2024","passed","Tue Dec 10 18:19:57 GMT 2024","","ui/register.spec.js","",""
"Registry new user  by api","629","Test registry new user @API @LOGIN","api","Tue Dec 10 18:19:50 GMT 2024","passed","Tue Dec 10 18:19:51 GMT 2024","","api/register.api.spec.js","",""
"Get all exist tasks by api","399","Test get all tasks @API @TASK","api","Tue Dec 10 18:19:53 GMT 2024","passed","Tue Dec 10 18:19:53 GMT 2024","","api/tasks.api.spec.js","",""
"","8","Create new project @UI @PROJECT @POSITIVE","ui","Tue Dec 10 18:19:54 GMT 2024","failed","Tue Dec 10 18:19:54 GMT 2024","","ui/project.spec.js","",""
"Check API token for user","559","Test get auth key @API @LOGIN","api","Tue Dec 10 18:19:51 GMT 2024","passed","Tue Dec 10 18:19:52 GMT 2024","","api/register.api.spec.js","",""
"","9","Create new tasks and change status @UI @TASK @POSITIVE","ui","Tue Dec 10 18:19:58 GMT 2024","failed","Tue Dec 10 18:19:58 GMT 2024","","ui/todo.spec.js","",""
"","3","Create new task @UI @TASK @POSITIVE","ui","Tue Dec 10 18:19:57 GMT 2024","failed","Tue Dec 10 18:19:57 GMT 2024","","ui/todo.spec.js","",""
"Create new task and set it done by api","384","Test set new task to done @API @TASK","api","Tue Dec 10 18:19:52 GMT 2024","passed","Tue Dec 10 18:19:52 GMT 2024","","api/tasks.api.spec.js","",""
