"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new task  and delete it by api","353","Delete task @API @TASK","api","Thu Dec 12 20:23:00 GMT 2024","passed","Thu Dec 12 20:23:00 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist tasks by api","391","Test get all tasks @API @TASK","api","Thu Dec 12 20:23:00 GMT 2024","passed","Thu Dec 12 20:23:00 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with exist user","2579","Login with exist user @UI @LOGIN @POSITIVE","ui","Thu Dec 12 20:23:01 GMT 2024","passed","Thu Dec 12 20:23:04 GMT 2024","","ui/login.spec.js","",""
"Get all exist project by api","424","Test get all projects @API @PROJECT","api","Thu Dec 12 20:22:58 GMT 2024","passed","Thu Dec 12 20:22:58 GMT 2024","","api/project.api.spec.js","",""
"Check API token for user","522","Test get auth key @API @LOGIN","api","Thu Dec 12 20:22:59 GMT 2024","passed","Thu Dec 12 20:22:59 GMT 2024","","api/register.api.spec.js","",""
"Create new task and set it done by api","367","Test set new task to done @API @TASK","api","Thu Dec 12 20:22:59 GMT 2024","passed","Thu Dec 12 20:23:00 GMT 2024","","api/tasks.api.spec.js","",""
"","2655","Create new user","setup","Thu Dec 12 20:22:53 GMT 2024","passed","Thu Dec 12 20:22:56 GMT 2024","","login.setup.js","",""
"Try to login with wrong credentials","3560","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Thu Dec 12 20:23:04 GMT 2024","passed","Thu Dec 12 20:23:07 GMT 2024","","ui/login.spec.js","",""
"Create new task by api","247","Test create new task @API @TASK","api","Thu Dec 12 20:22:59 GMT 2024","passed","Thu Dec 12 20:22:59 GMT 2024","","api/tasks.api.spec.js","",""
"Register new user","6724","Register new user @UI @REGISTER @POSITIVE","ui","Thu Dec 12 20:23:12 GMT 2024","failed","Thu Dec 12 20:23:19 GMT 2024","","ui/register.spec.js","",""
"Try to login with wrong credentials","2147","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Thu Dec 12 20:23:07 GMT 2024","passed","Thu Dec 12 20:23:09 GMT 2024","","ui/login.spec.js","",""
"Create new project by api","1200","Test create new project @API @PROJECT","api","Thu Dec 12 20:22:57 GMT 2024","passed","Thu Dec 12 20:22:58 GMT 2024","","api/project.api.spec.js","",""
"Try to create new task in default project","2871","Create new project @UI @PROJECT @POSITIVE","ui","Thu Dec 12 20:23:09 GMT 2024","passed","Thu Dec 12 20:23:12 GMT 2024","","ui/project.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","7444","Create new tasks and change status @UI @TASK @POSITIVE","ui","Thu Dec 12 20:23:24 GMT 2024","passed","Thu Dec 12 20:23:31 GMT 2024","","ui/todo.spec.js","",""
"Try to create new task in default project","4225","Create new task @UI @TASK @POSITIVE","ui","Thu Dec 12 20:23:20 GMT 2024","passed","Thu Dec 12 20:23:24 GMT 2024","","ui/todo.spec.js","",""
"Registry new user  by api","328","Test registry new user @API @LOGIN","api","Thu Dec 12 20:22:58 GMT 2024","passed","Thu Dec 12 20:22:59 GMT 2024","","api/register.api.spec.js","",""
