"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Try to create new task in default project","3124","Create new project @UI @PROJECT @POSITIVE","ui","Thu Dec 12 20:46:03 GMT 2024","passed","Thu Dec 12 20:46:06 GMT 2024","","ui/project.spec.js","",""
"Get all exist tasks by api","445","Test get all tasks @API @TASK","api","Thu Dec 12 20:45:53 GMT 2024","passed","Thu Dec 12 20:45:53 GMT 2024","","api/tasks.api.spec.js","",""
"Create new task  and delete it by api","423","Delete task @API @TASK","api","Thu Dec 12 20:45:52 GMT 2024","passed","Thu Dec 12 20:45:53 GMT 2024","","api/tasks.api.spec.js","",""
"Register new user","6872","Register new user @UI @REGISTER @POSITIVE","ui","Thu Dec 12 20:46:06 GMT 2024","failed","Thu Dec 12 20:46:13 GMT 2024","","ui/register.spec.js","",""
"Try to login with wrong credentials","2265","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Thu Dec 12 20:46:01 GMT 2024","passed","Thu Dec 12 20:46:03 GMT 2024","","ui/login.spec.js","",""
"Create new task and set it done by api","424","Test set new task to done @API @TASK","api","Thu Dec 12 20:45:52 GMT 2024","passed","Thu Dec 12 20:45:52 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with exist user","2834","Login with exist user @UI @LOGIN @POSITIVE","ui","Thu Dec 12 20:45:54 GMT 2024","passed","Thu Dec 12 20:45:57 GMT 2024","","ui/login.spec.js","",""
"Create new project by api","1146","Test create new project @API @PROJECT","api","Thu Dec 12 20:45:49 GMT 2024","passed","Thu Dec 12 20:45:50 GMT 2024","","api/project.api.spec.js","",""
"Try to login with wrong credentials","3722","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Thu Dec 12 20:45:57 GMT 2024","passed","Thu Dec 12 20:46:01 GMT 2024","","ui/login.spec.js","",""
"","2887","Create new user","setup","Thu Dec 12 20:45:45 GMT 2024","passed","Thu Dec 12 20:45:48 GMT 2024","","login.setup.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","8126","Create new tasks and change status @UI @TASK @POSITIVE","ui","Thu Dec 12 20:46:18 GMT 2024","passed","Thu Dec 12 20:46:26 GMT 2024","","ui/todo.spec.js","",""
"Create new task by api","282","Test create new task @API @TASK","api","Thu Dec 12 20:45:52 GMT 2024","passed","Thu Dec 12 20:45:52 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist project by api","474","Test get all projects @API @PROJECT","api","Thu Dec 12 20:45:50 GMT 2024","passed","Thu Dec 12 20:45:51 GMT 2024","","api/project.api.spec.js","",""
"Registry new user  by api","355","Test registry new user @API @LOGIN","api","Thu Dec 12 20:45:51 GMT 2024","passed","Thu Dec 12 20:45:51 GMT 2024","","api/register.api.spec.js","",""
"Try to create new task in default project","4421","Create new task @UI @TASK @POSITIVE","ui","Thu Dec 12 20:46:13 GMT 2024","passed","Thu Dec 12 20:46:18 GMT 2024","","ui/todo.spec.js","",""
"Check API token for user","564","Test get auth key @API @LOGIN","api","Thu Dec 12 20:45:51 GMT 2024","passed","Thu Dec 12 20:45:52 GMT 2024","","api/register.api.spec.js","",""
