"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Try to create new task in default project","30009","Create new project @UI @PROJECT @POSITIVE","ui","Tue Dec 10 19:11:50 GMT 2024","broken","Tue Dec 10 19:12:20 GMT 2024","","ui/project.spec.js","",""
"Create new task by api","499","Test create new task @API @TASK","api","Tue Dec 10 19:11:45 GMT 2024","failed","Tue Dec 10 19:11:45 GMT 2024","","api/tasks.api.spec.js","",""
"Register new user","2620","Register new user @UI @REGISTER @POSITIVE","ui","Tue Dec 10 19:12:20 GMT 2024","passed","Tue Dec 10 19:12:23 GMT 2024","","ui/register.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","30012","Create new tasks and change status @UI @TASK @POSITIVE","ui","Tue Dec 10 19:12:54 GMT 2024","broken","Tue Dec 10 19:13:24 GMT 2024","","ui/todo.spec.js","",""
"Get all exist tasks by api","597","Test get all tasks @API @TASK","api","Tue Dec 10 19:11:48 GMT 2024","failed","Tue Dec 10 19:11:49 GMT 2024","","api/tasks.api.spec.js","",""
"Check API token for user","495","Test get auth key @API @LOGIN","api","Tue Dec 10 19:11:44 GMT 2024","failed","Tue Dec 10 19:11:44 GMT 2024","","api/register.api.spec.js","",""
"Try to login with new register user (user with credentials demo:demo exist by default)","1692","Login with exist user @UI @LOGIN @POSITIVE","ui","Tue Dec 10 19:13:24 GMT 2024","failed","Tue Dec 10 19:13:26 GMT 2024","","ui/ui.spec.js","",""
"Try to login with wrong credentials","1993","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:13:31 GMT 2024","passed","Tue Dec 10 19:13:33 GMT 2024","","ui/ui.spec.js","",""
"Create new project by api","1490","Test create new project @API @PROJECT","api","Tue Dec 10 19:11:39 GMT 2024","failed","Tue Dec 10 19:11:41 GMT 2024","","api/project.api.spec.js","",""
"Create new task and set it done by api","504","Test set new task to done @API @TASK","api","Tue Dec 10 19:11:46 GMT 2024","failed","Tue Dec 10 19:11:46 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist project by api","587","Test get all projects @API @PROJECT","api","Tue Dec 10 19:11:41 GMT 2024","failed","Tue Dec 10 19:11:42 GMT 2024","","api/project.api.spec.js","",""
"Create new task  and delete it by api","599","Delete task @API @TASK","api","Tue Dec 10 19:11:47 GMT 2024","failed","Tue Dec 10 19:11:48 GMT 2024","","api/tasks.api.spec.js","",""
"","2648","Create new user","setup","Tue Dec 10 19:11:36 GMT 2024","passed","Tue Dec 10 19:11:38 GMT 2024","","login.setup.js","",""
"Registry new user  by api","396","Test registry new user @API @LOGIN","api","Tue Dec 10 19:11:43 GMT 2024","failed","Tue Dec 10 19:11:43 GMT 2024","","api/register.api.spec.js","",""
"Try to create new task in default project","30011","Create new task @UI @TASK @POSITIVE","ui","Tue Dec 10 19:12:23 GMT 2024","broken","Tue Dec 10 19:12:53 GMT 2024","","ui/todo.spec.js","",""
"Try to login with wrong credentials","3575","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:13:27 GMT 2024","passed","Tue Dec 10 19:13:31 GMT 2024","","ui/ui.spec.js","",""
