"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new task  and delete it by api","520","Delete task @API @TASK","api","Thu Dec 12 20:54:06 GMT 2024","passed","Thu Dec 12 20:54:07 GMT 2024","","api/tasks.api.spec.js","",""
"Register new user","4259","Register new user @UI @REGISTER @POSITIVE","ui","Thu Dec 12 20:54:15 GMT 2024","passed","Thu Dec 12 20:54:20 GMT 2024","","ui/register.spec.js","",""
"Create new task by api","362","Test create new task @API @TASK","api","Thu Dec 12 20:54:05 GMT 2024","passed","Thu Dec 12 20:54:06 GMT 2024","","api/tasks.api.spec.js","",""
"Registry new user  by api","405","Test registry new user @API @LOGIN","api","Thu Dec 12 20:54:04 GMT 2024","passed","Thu Dec 12 20:54:05 GMT 2024","","api/register.api.spec.js","",""
"Try to create new task in default project","5805","Create new task @UI @TASK @POSITIVE","ui","Thu Dec 12 20:54:20 GMT 2024","passed","Thu Dec 12 20:54:26 GMT 2024","","ui/todo.spec.js","",""
"Check API token for user","702","Test get auth key @API @LOGIN","api","Thu Dec 12 20:54:05 GMT 2024","passed","Thu Dec 12 20:54:05 GMT 2024","","api/register.api.spec.js","",""
"","4391","Create new user","setup","Thu Dec 12 20:53:57 GMT 2024","passed","Thu Dec 12 20:54:01 GMT 2024","","login.setup.js","",""
"Create new task and set it done by api","542","Test set new task to done @API @TASK","api","Thu Dec 12 20:54:06 GMT 2024","passed","Thu Dec 12 20:54:06 GMT 2024","","api/tasks.api.spec.js","",""
"Try to create new task in default project","3711","Create new project @UI @PROJECT @POSITIVE","ui","Thu Dec 12 20:54:12 GMT 2024","passed","Thu Dec 12 20:54:15 GMT 2024","","ui/project.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","8696","Create new tasks and change status @UI @TASK @POSITIVE","ui","Thu Dec 12 20:54:26 GMT 2024","passed","Thu Dec 12 20:54:34 GMT 2024","","ui/todo.spec.js","",""
"Get all exist tasks by api","554","Test get all tasks @API @TASK","api","Thu Dec 12 20:54:07 GMT 2024","passed","Thu Dec 12 20:54:07 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with exist user","3844","Login with exist user @UI @LOGIN @POSITIVE","ui","Thu Dec 12 20:54:08 GMT 2024","passed","Thu Dec 12 20:54:12 GMT 2024","","ui/login.spec.js","",""
"Get all exist project by api","608","Test get all projects @API @PROJECT","api","Thu Dec 12 20:54:03 GMT 2024","passed","Thu Dec 12 20:54:04 GMT 2024","","api/project.api.spec.js","",""
"Create new project by api","1451","Test create new project @API @PROJECT","api","Thu Dec 12 20:54:02 GMT 2024","passed","Thu Dec 12 20:54:03 GMT 2024","","api/project.api.spec.js","",""
