"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Register new user","2672","Register new user @UI @REGISTER @POSITIVE","ui","Tue Dec 10 19:35:43 GMT 2024","passed","Tue Dec 10 19:35:46 GMT 2024","","ui/register.spec.js","",""
"","2915","Create new user","setup","Tue Dec 10 19:35:31 GMT 2024","passed","Tue Dec 10 19:35:34 GMT 2024","","login.setup.js","",""
"Try to create new task in default project","2992","Create new project @UI @PROJECT @POSITIVE","ui","Tue Dec 10 19:35:40 GMT 2024","passed","Tue Dec 10 19:35:43 GMT 2024","","ui/project.spec.js","",""
"Get all exist project by api","448","Test get all projects @API @PROJECT","api","Tue Dec 10 19:35:36 GMT 2024","passed","Tue Dec 10 19:35:37 GMT 2024","","api/project.api.spec.js","",""
"Create new task and set it done by api","430","Test set new task to done @API @TASK","api","Tue Dec 10 19:35:38 GMT 2024","passed","Tue Dec 10 19:35:39 GMT 2024","","api/tasks.api.spec.js","",""
"Try to login with wrong credentials","3720","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:36:50 GMT 2024","passed","Tue Dec 10 19:36:54 GMT 2024","","ui/ui.spec.js","",""
"Registry new user  by api","350","Test registry new user @API @LOGIN","api","Tue Dec 10 19:35:37 GMT 2024","passed","Tue Dec 10 19:35:37 GMT 2024","","api/register.api.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","30010","Create new tasks and change status @UI @TASK @POSITIVE","ui","Tue Dec 10 19:36:16 GMT 2024","broken","Tue Dec 10 19:36:46 GMT 2024","","ui/todo.spec.js","",""
"Try to login with wrong credentials","2107","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:36:54 GMT 2024","passed","Tue Dec 10 19:36:56 GMT 2024","","ui/ui.spec.js","",""
"Create new task by api","293","Test create new task @API @TASK","api","Tue Dec 10 19:35:38 GMT 2024","passed","Tue Dec 10 19:35:38 GMT 2024","","api/tasks.api.spec.js","",""
"Check API token for user","657","Test get auth key @API @LOGIN","api","Tue Dec 10 19:35:37 GMT 2024","passed","Tue Dec 10 19:35:38 GMT 2024","","api/register.api.spec.js","",""
"Try to login with new register user (user with credentials demo:demo exist by default)","2715","Login with exist user @UI @LOGIN @POSITIVE","ui","Tue Dec 10 19:36:47 GMT 2024","passed","Tue Dec 10 19:36:50 GMT 2024","","ui/ui.spec.js","",""
"Create new task  and delete it by api","402","Delete task @API @TASK","api","Tue Dec 10 19:35:39 GMT 2024","passed","Tue Dec 10 19:35:39 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist tasks by api","413","Test get all tasks @API @TASK","api","Tue Dec 10 19:35:39 GMT 2024","passed","Tue Dec 10 19:35:39 GMT 2024","","api/tasks.api.spec.js","",""
"Try to create new task in default project","30008","Create new task @UI @TASK @POSITIVE","ui","Tue Dec 10 19:35:46 GMT 2024","broken","Tue Dec 10 19:36:16 GMT 2024","","ui/todo.spec.js","",""
"Create new project by api","1109","Test create new project @API @PROJECT","api","Tue Dec 10 19:35:35 GMT 2024","passed","Tue Dec 10 19:35:36 GMT 2024","","api/project.api.spec.js","",""
