"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new task by api","270","Test create new task @API @TASK","api","Tue Dec 10 19:51:02 GMT 2024","passed","Tue Dec 10 19:51:03 GMT 2024","","api/tasks.api.spec.js","",""
"Get all exist project by api","483","Test get all projects @API @PROJECT","api","Tue Dec 10 19:51:01 GMT 2024","passed","Tue Dec 10 19:51:01 GMT 2024","","api/project.api.spec.js","",""
"Get all exist tasks by api","399","Test get all tasks @API @TASK","api","Tue Dec 10 19:51:03 GMT 2024","passed","Tue Dec 10 19:51:04 GMT 2024","","api/tasks.api.spec.js","",""
"Register new user","2703","Register new user @UI @REGISTER @POSITIVE","ui","Tue Dec 10 19:51:08 GMT 2024","passed","Tue Dec 10 19:51:10 GMT 2024","","ui/register.spec.js","",""
"Registry new user  by api","335","Test registry new user @API @LOGIN","api","Tue Dec 10 19:51:01 GMT 2024","passed","Tue Dec 10 19:51:02 GMT 2024","","api/register.api.spec.js","",""
"Try to login with new register user (user with credentials demo:demo exist by default)","2723","Login with exist user @UI @LOGIN @POSITIVE","ui","Tue Dec 10 19:52:12 GMT 2024","passed","Tue Dec 10 19:52:14 GMT 2024","","ui/ui.spec.js","",""
"Create new project by api","1142","Test create new project @API @PROJECT","api","Tue Dec 10 19:51:00 GMT 2024","passed","Tue Dec 10 19:51:01 GMT 2024","","api/project.api.spec.js","",""
"","2897","Create new user","setup","Tue Dec 10 19:50:56 GMT 2024","passed","Tue Dec 10 19:50:59 GMT 2024","","login.setup.js","",""
"Try to login with wrong credentials","3621","Login with wrong credentials: not exist user @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:52:14 GMT 2024","passed","Tue Dec 10 19:52:18 GMT 2024","","ui/ui.spec.js","",""
"Create new task and set it done by api","409","Test set new task to done @API @TASK","api","Tue Dec 10 19:51:03 GMT 2024","passed","Tue Dec 10 19:51:03 GMT 2024","","api/tasks.api.spec.js","",""
"Try to create new task in default project","30009","Create new task @UI @TASK @POSITIVE","ui","Tue Dec 10 19:51:10 GMT 2024","broken","Tue Dec 10 19:51:40 GMT 2024","","ui/todo.spec.js","",""
"Try to create new task in default project","2963","Create new project @UI @PROJECT @POSITIVE","ui","Tue Dec 10 19:51:05 GMT 2024","passed","Tue Dec 10 19:51:07 GMT 2024","","ui/project.spec.js","",""
"Create list of 2 tasks, including completed ones (the completed task should disappear from the list)","30010","Create new tasks and change status @UI @TASK @POSITIVE","ui","Tue Dec 10 19:51:41 GMT 2024","broken","Tue Dec 10 19:52:11 GMT 2024","","ui/todo.spec.js","",""
"Create new task  and delete it by api","416","Delete task @API @TASK","api","Tue Dec 10 19:51:03 GMT 2024","passed","Tue Dec 10 19:51:03 GMT 2024","","api/tasks.api.spec.js","",""
"Check API token for user","581","Test get auth key @API @LOGIN","api","Tue Dec 10 19:51:02 GMT 2024","passed","Tue Dec 10 19:51:02 GMT 2024","","api/register.api.spec.js","",""
"Try to login with wrong credentials","2161","Login with wrong credentials: wrong password @UI @LOGIN @NEGATIVE","ui","Tue Dec 10 19:52:18 GMT 2024","passed","Tue Dec 10 19:52:20 GMT 2024","","ui/ui.spec.js","",""
